April 2017 Illinois County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",57.0,115,4.6,52.4
IL-003,"Alexander County",61.9,120,5.0,56.9
IL-005,"Bond County",58.4,117,4.7,53.7
IL-007,"Boone County",52.1,116,5.1,47
IL-009,"Brown County",57.2,118,5.1,52.1
IL-011,"Bureau County",52.9,111,3.9,49
IL-013,"Calhoun County",58.3,115,4.4,53.9
IL-015,"Carroll County",52.4,116,4.8,47.6
IL-017,"Cass County",57.1,116,4.7,52.4
IL-019,"Champaign County",56.6,123,6.1,50.5
IL-021,"Christian County",57.3,117,5.1,52.2
IL-023,"Clark County",58.2,124,5.8,52.4
IL-025,"Clay County",59.1,119,5.4,53.7
IL-027,"Clinton County",59.2,118,4.8,54.4
IL-029,"Coles County",57.2,119,5.3,51.9
IL-031,"Cook County",52.8,119,5.3,47.5
IL-033,"Crawford County",59.0,122,5.7,53.3
IL-035,"Cumberland County",57.7,119,5.2,52.5
IL-037,"DeKalb County",51.8,112,4.4,47.4
IL-039,"De Witt County",56.5,121,5.9,50.6
IL-041,"Douglas County",57.1,122,5.8,51.3
IL-043,"DuPage County",52.5,119,4.9,47.6
IL-045,"Edgar County",57.0,120,5.5,51.5
IL-047,"Edwards County",60.7,122,5.9,54.8
IL-049,"Effingham County",57.7,118,4.7,53
IL-051,"Fayette County",58.0,118,4.7,53.3
IL-053,"Ford County",55.5,121,5.9,49.6
IL-055,"Franklin County",59.8,118,4.6,55.2
IL-057,"Fulton County",55.9,114,4.4,51.5
IL-059,"Gallatin County",60.9,119,4.8,56.1
IL-061,"Greene County",57.8,115,4.2,53.6
IL-063,"Grundy County",54.1,117,5.3,48.8
IL-065,"Hamilton County",60.6,119,5.3,55.3
IL-067,"Hancock County",55.7,110,3.9,51.8
IL-069,"Hardin County",61.2,119,4.9,56.3
IL-071,"Henderson County",54.7,111,3.9,50.8
IL-073,"Henry County",53.6,113,4.4,49.2
IL-075,"Iroquois County",55.0,119,5.6,49.4
IL-077,"Jackson County",60.0,119,4.5,55.5
IL-079,"Jasper County",58.4,119,5.1,53.3
IL-081,"Jefferson County",59.3,118,4.5,54.8
IL-083,"Jersey County",58.6,117,4.5,54.1
IL-085,"Jo Daviess County",51.3,113,4.2,47.1
IL-087,"Johnson County",61.2,120,5.2,56
IL-089,"Kane County",52.0,115,4.7,47.3
IL-091,"Kankakee County",54.2,119,5.4,48.8
IL-093,"Kendall County",53.0,113,4.6,48.4
IL-095,"Knox County",53.7,111,3.8,49.9
IL-097,"Lake County",51.2,117,5.0,46.2
IL-099,"LaSalle County",53.6,115,4.7,48.9
IL-101,"Lawrence County",59.6,121,5.5,54.1
IL-103,"Lee County",52.5,114,4.4,48.1
IL-105,"Livingston County",55.0,120,5.6,49.4
IL-107,"Logan County",57.3,120,5.7,51.6
IL-109,"McDonough County",55.2,111,3.9,51.3
IL-111,"McHenry County",51.9,122,5.5,46.4
IL-113,"McLean County",55.7,121,5.9,49.8
IL-115,"Macon County",56.9,120,5.5,51.4
IL-117,"Macoupin County",57.7,116,4.6,53.1
IL-119,"Madison County",59.4,118,5.0,54.4
IL-121,"Marion County",58.6,118,4.6,54
IL-123,"Marshall County",54.4,114,4.5,49.9
IL-125,"Mason County",57.4,121,5.2,52.2
IL-127,"Massac County",62.2,123,5.4,56.8
IL-129,"Menard County",57.6,120,5.5,52.1
IL-131,"Mercer County",53.8,111,3.8,50
IL-133,"Monroe County",60.9,119,5.5,55.4
IL-135,"Montgomery County",57.5,117,4.7,52.8
IL-137,"Morgan County",57.2,117,4.8,52.4
IL-139,"Moultrie County",56.7,116,5.0,51.7
IL-141,"Ogle County",52.3,116,4.7,47.6
IL-143,"Peoria County",55.9,120,5.4,50.5
IL-145,"Perry County",59.7,119,4.8,54.9
IL-147,"Piatt County",56.8,122,6.0,50.8
IL-149,"Pike County",57.9,118,5.0,52.9
IL-151,"Pope County",61.3,120,5.1,56.2
IL-153,"Pulaski County",62.4,123,5.5,56.9
IL-155,"Putnam County",53.8,111,4.0,49.8
IL-157,"Randolph County",60.6,119,5.4,55.2
IL-159,"Richland County",59.3,119,5.3,54
IL-161,"Rock Island County",53.6,113,4.1,49.5
IL-163,"St. Clair County",60.6,119,5.5,55.1
IL-165,"Saline County",60.6,119,4.9,55.7
IL-167,"Sangamon County",57.7,119,5.5,52.2
IL-169,"Schuyler County",56.6,116,4.6,52
IL-171,"Scott County",57.6,116,4.7,52.9
IL-173,"Shelby County",57.1,117,4.7,52.4
IL-175,"Stark County",53.9,111,4.3,49.6
IL-177,"Stephenson County",51.8,116,4.9,46.9
IL-179,"Tazewell County",56.6,121,5.7,50.9
IL-181,"Union County",60.8,119,4.8,56
IL-183,"Vermilion County",56.5,124,5.9,50.6
IL-185,"Wabash County",60.4,122,5.7,54.7
IL-187,"Warren County",53.8,111,3.7,50.1
IL-189,"Washington County",59.3,118,4.6,54.7
IL-191,"Wayne County",60.6,122,6.0,54.6
IL-193,"White County",60.9,120,5.3,55.6
IL-195,"Whiteside County",53.1,115,4.5,48.6
IL-197,"Will County",53.7,119,5.2,48.5
IL-199,"Williamson County",60.1,118,4.7,55.4
IL-201,"Winnebago County",52.3,114,5.0,47.3
IL-203,"Woodford County",55.2,118,5.4,49.8
