March 2017 Illinois County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",44.5,102,4.1,40.4
IL-003,"Alexander County",49.2,90,2.8,46.4
IL-005,"Bond County",45.9,94,3.1,42.8
IL-007,"Boone County",36.3,82,1.9,34.4
IL-009,"Brown County",44.6,101,4.3,40.3
IL-011,"Bureau County",39.4,92,2.9,36.5
IL-013,"Calhoun County",46.2,99,3.8,42.4
IL-015,"Carroll County",38.6,102,3.8,34.8
IL-017,"Cass County",44.2,99,3.7,40.5
IL-019,"Champaign County",42.8,101,3.9,38.9
IL-021,"Christian County",44.1,96,3.2,40.9
IL-023,"Clark County",44.6,97,3.4,41.2
IL-025,"Clay County",46.7,103,3.9,42.8
IL-027,"Clinton County",46.9,96,3.5,43.4
IL-029,"Coles County",43.9,92,3.3,40.6
IL-031,"Cook County",38.4,86,2.1,36.3
IL-033,"Crawford County",45.8,101,3.6,42.2
IL-035,"Cumberland County",44.5,93,3.2,41.3
IL-037,"DeKalb County",37.7,87,2.5,35.2
IL-039,"De Witt County",42.5,98,3.6,38.9
IL-041,"Douglas County",43.7,100,3.9,39.8
IL-043,"DuPage County",38.0,85,2.1,35.9
IL-045,"Edgar County",43.6,96,3.4,40.2
IL-047,"Edwards County",48.2,109,4.3,43.9
IL-049,"Effingham County",45.0,93,3.2,41.8
IL-051,"Fayette County",45.5,96,3.2,42.3
IL-053,"Ford County",41.5,98,3.5,38
IL-055,"Franklin County",48.2,97,3.6,44.6
IL-057,"Fulton County",42.4,94,3.1,39.3
IL-059,"Gallatin County",48.6,94,3.0,45.6
IL-061,"Greene County",45.6,97,3.5,42.1
IL-063,"Grundy County",39.9,91,2.9,37
IL-065,"Hamilton County",48.8,107,4.3,44.5
IL-067,"Hancock County",43.2,98,3.8,39.4
IL-069,"Hardin County",49.2,98,3.2,46
IL-071,"Henderson County",41.7,95,3.4,38.3
IL-073,"Henry County",39.7,95,3.1,36.6
IL-075,"Iroquois County",41.2,95,3.3,37.9
IL-077,"Jackson County",48.2,95,3.3,44.9
IL-079,"Jasper County",45.4,95,3.3,42.1
IL-081,"Jefferson County",47.5,97,3.6,43.9
IL-083,"Jersey County",46.4,99,3.8,42.6
IL-085,"Jo Daviess County",37.3,93,3.2,34.1
IL-087,"Johnson County",48.6,93,3.0,45.6
IL-089,"Kane County",37.4,82,2.0,35.4
IL-091,"Kankakee County",40.1,91,2.8,37.3
IL-093,"Kendall County",38.7,85,2.2,36.5
IL-095,"Knox County",40.2,92,2.7,37.5
IL-097,"Lake County",36.8,84,2.1,34.7
IL-099,"LaSalle County",39.5,92,2.7,36.8
IL-101,"Lawrence County",46.7,99,3.6,43.1
IL-103,"Lee County",38.7,95,3.2,35.5
IL-105,"Livingston County",40.2,90,2.8,37.4
IL-107,"Logan County",43.1,98,3.4,39.7
IL-109,"McDonough County",42.5,97,3.5,39
IL-111,"McHenry County",36.5,87,2.3,34.2
IL-113,"McLean County",41.7,97,3.8,37.9
IL-115,"Macon County",43.2,96,3.3,39.9
IL-117,"Macoupin County",45.2,95,3.4,41.8
IL-119,"Madison County",47.2,99,4.0,43.2
IL-121,"Marion County",46.5,96,3.4,43.1
IL-123,"Marshall County",40.5,91,2.9,37.6
IL-125,"Mason County",43.4,95,3.3,40.1
IL-127,"Massac County",49.9,97,3.5,46.4
IL-129,"Menard County",43.8,98,3.6,40.2
IL-131,"Mercer County",40.2,93,2.9,37.3
IL-133,"Monroe County",49.6,110,5.1,44.5
IL-135,"Montgomery County",44.8,93,3.1,41.7
IL-137,"Morgan County",44.5,99,3.8,40.7
IL-139,"Moultrie County",43.5,93,3.2,40.3
IL-141,"Ogle County",38.4,99,3.6,34.8
IL-143,"Peoria County",41.7,99,3.5,38.2
IL-145,"Perry County",47.6,94,3.4,44.2
IL-147,"Piatt County",43.0,99,3.8,39.2
IL-149,"Pike County",45.7,104,4.4,41.3
IL-151,"Pope County",49.1,95,3.2,45.9
IL-153,"Pulaski County",49.1,89,2.7,46.4
IL-155,"Putnam County",39.8,87,2.3,37.5
IL-157,"Randolph County",48.7,101,4.3,44.4
IL-159,"Richland County",46.9,100,3.8,43.1
IL-161,"Rock Island County",39.8,91,3.1,36.7
IL-163,"St. Clair County",48.8,107,4.8,44
IL-165,"Saline County",48.5,95,3.2,45.3
IL-167,"Sangamon County",44.3,98,3.8,40.5
IL-169,"Schuyler County",43.9,101,3.9,40
IL-171,"Scott County",45.2,100,3.9,41.3
IL-173,"Shelby County",44.2,94,3.1,41.1
IL-175,"Stark County",40.2,95,3.1,37.1
IL-177,"Stephenson County",37.5,97,3.6,33.9
IL-179,"Tazewell County",42.5,100,3.7,38.8
IL-181,"Union County",48.5,93,3.0,45.5
IL-183,"Vermilion County",42.4,94,3.2,39.2
IL-185,"Wabash County",47.5,99,3.6,43.9
IL-187,"Warren County",40.5,92,2.8,37.7
IL-189,"Washington County",47.0,94,3.2,43.8
IL-191,"Wayne County",48.5,111,4.8,43.7
IL-193,"White County",48.6,102,3.8,44.8
IL-195,"Whiteside County",39.8,101,4.0,35.8
IL-197,"Will County",39.2,85,2.2,37
IL-199,"Williamson County",48.4,96,3.4,45
IL-201,"Winnebago County",37.2,88,2.7,34.5
IL-203,"Woodford County",41.3,97,3.7,37.6
