April 2017 Illinois County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",67.5,110,4.0,63.5
IL-003,"Alexander County",72.7,116,4.8,67.9
IL-005,"Bond County",69.6,117,5.0,64.6
IL-007,"Boone County",63.4,116,5.6,57.8
IL-009,"Brown County",67.6,107,4.1,63.5
IL-011,"Bureau County",64.2,103,3.8,60.4
IL-013,"Calhoun County",69.4,111,4.2,65.2
IL-015,"Carroll County",63.0,104,4.1,58.9
IL-017,"Cass County",68.1,109,4.3,63.8
IL-019,"Champaign County",68.3,119,6.3,62
IL-021,"Christian County",68.4,116,5.0,63.4
IL-023,"Clark County",69.5,121,6.2,63.3
IL-025,"Clay County",70.1,118,5.3,64.8
IL-027,"Clinton County",70.5,118,5.0,65.5
IL-029,"Coles County",68.2,115,5.4,62.8
IL-031,"Cook County",63.4,117,5.9,57.5
IL-033,"Crawford County",70.0,118,5.8,64.2
IL-035,"Cumberland County",68.6,117,5.2,63.4
IL-037,"DeKalb County",62.9,109,4.5,58.4
IL-039,"De Witt County",67.4,114,5.5,61.9
IL-041,"Douglas County",68.1,116,5.5,62.6
IL-043,"DuPage County",63.8,117,5.8,58
IL-045,"Edgar County",68.8,120,6.1,62.7
IL-047,"Edwards County",71.7,118,5.7,66
IL-049,"Effingham County",68.6,116,4.9,63.7
IL-051,"Fayette County",69.0,117,4.8,64.2
IL-053,"Ford County",67.2,118,5.7,61.5
IL-055,"Franklin County",70.2,106,3.4,66.8
IL-057,"Fulton County",66.8,105,3.9,62.9
IL-059,"Gallatin County",71.9,117,4.6,67.3
IL-061,"Greene County",69.0,110,4.0,65
IL-063,"Grundy County",65.7,116,5.4,60.3
IL-065,"Hamilton County",71.2,116,4.5,66.7
IL-067,"Hancock County",66.1,100,3.4,62.7
IL-069,"Hardin County",72.0,116,4.5,67.5
IL-071,"Henderson County",65.2,101,3.4,61.8
IL-073,"Henry County",64.2,103,3.8,60.4
IL-075,"Iroquois County",66.6,115,5.4,61.2
IL-077,"Jackson County",70.7,107,3.5,67.2
IL-079,"Jasper County",69.3,117,5.2,64.1
IL-081,"Jefferson County",69.8,108,3.6,66.2
IL-083,"Jersey County",69.6,111,4.4,65.2
IL-085,"Jo Daviess County",62.0,103,3.8,58.2
IL-087,"Johnson County",71.6,115,4.5,67.1
IL-089,"Kane County",63.4,115,5.4,58
IL-091,"Kankakee County",65.8,114,5.5,60.3
IL-093,"Kendall County",64.7,116,5.4,59.3
IL-095,"Knox County",64.5,99,3.4,61.1
IL-097,"Lake County",61.8,119,5.8,56
IL-099,"LaSalle County",65.2,113,5.0,60.2
IL-101,"Lawrence County",70.6,118,5.5,65.1
IL-103,"Lee County",63.2,106,3.9,59.3
IL-105,"Livingston County",66.4,114,5.3,61.1
IL-107,"Logan County",68.1,115,5.4,62.7
IL-109,"McDonough County",65.8,99,3.3,62.5
IL-111,"McHenry County",63.6,121,6.5,57.1
IL-113,"McLean County",66.9,114,5.5,61.4
IL-115,"Macon County",67.6,115,5.2,62.4
IL-117,"Macoupin County",68.8,116,4.6,64.2
IL-119,"Madison County",70.4,117,5.1,65.3
IL-121,"Marion County",69.5,117,4.5,65
IL-123,"Marshall County",65.8,109,4.5,61.3
IL-125,"Mason County",68.4,111,4.7,63.7
IL-127,"Massac County",72.9,118,5.1,67.8
IL-129,"Menard County",68.5,113,4.9,63.6
IL-131,"Mercer County",64.6,102,3.7,60.9
IL-133,"Monroe County",71.8,116,5.0,66.8
IL-135,"Montgomery County",68.5,116,4.7,63.8
IL-137,"Morgan County",68.2,109,4.5,63.7
IL-139,"Moultrie County",67.6,115,4.9,62.7
IL-141,"Ogle County",63.0,107,4.3,58.7
IL-143,"Peoria County",66.9,114,5.0,61.9
IL-145,"Perry County",70.4,108,3.7,66.7
IL-147,"Piatt County",67.8,117,5.7,62.1
IL-149,"Pike County",68.6,111,4.4,64.2
IL-151,"Pope County",71.9,117,4.6,67.3
IL-153,"Pulaski County",72.8,118,4.9,67.9
IL-155,"Putnam County",65.3,104,4.1,61.2
IL-157,"Randolph County",71.2,114,4.1,67.1
IL-159,"Richland County",70.3,117,5.2,65.1
IL-161,"Rock Island County",64.2,105,3.9,60.3
IL-163,"St. Clair County",71.5,117,5.4,66.1
IL-165,"Saline County",71.4,117,4.4,67
IL-167,"Sangamon County",68.7,116,5.0,63.7
IL-169,"Schuyler County",67.2,106,3.8,63.4
IL-171,"Scott County",68.7,109,4.4,64.3
IL-173,"Shelby County",68.0,116,4.8,63.2
IL-175,"Stark County",65.0,104,3.9,61.1
IL-177,"Stephenson County",62.7,108,4.5,58.2
IL-179,"Tazewell County",67.7,115,5.4,62.3
IL-181,"Union County",71.4,110,4.0,67.4
IL-183,"Vermilion County",68.0,118,5.9,62.1
IL-185,"Wabash County",71.4,118,5.6,65.8
IL-187,"Warren County",64.4,99,3.3,61.1
IL-189,"Washington County",70.2,113,4.2,66
IL-191,"Wayne County",71.5,118,5.6,65.9
IL-193,"White County",71.7,118,4.8,66.9
IL-195,"Whiteside County",63.8,106,4.0,59.8
IL-197,"Will County",65.1,117,5.6,59.5
IL-199,"Williamson County",70.4,107,3.4,67
IL-201,"Winnebago County",63.4,113,5.1,58.3
IL-203,"Woodford County",66.6,113,5.2,61.4
