March 2017 Illinois County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",53.9,90,3.4,50.5
IL-003,"Alexander County",59.4,87,2.6,56.8
IL-005,"Bond County",56.6,95,3.9,52.7
IL-007,"Boone County",45.5,82,2.2,43.3
IL-009,"Brown County",54.3,92,3.7,50.6
IL-011,"Bureau County",49.3,90,3.1,46.2
IL-013,"Calhoun County",56.3,93,3.6,52.7
IL-015,"Carroll County",48.0,93,3.8,44.2
IL-017,"Cass County",54.4,93,3.8,50.6
IL-019,"Champaign County",52.7,94,3.9,48.8
IL-021,"Christian County",54.0,92,3.4,50.6
IL-023,"Clark County",54.4,93,3.5,50.9
IL-025,"Clay County",56.5,95,3.7,52.8
IL-027,"Clinton County",58.0,99,4.4,53.6
IL-029,"Coles County",53.8,92,3.6,50.2
IL-031,"Cook County",46.8,81,2.1,44.7
IL-033,"Crawford County",55.6,96,3.6,52
IL-035,"Cumberland County",54.2,92,3.2,51
IL-037,"DeKalb County",47.1,90,2.9,44.2
IL-039,"De Witt County",51.7,88,3.2,48.5
IL-041,"Douglas County",53.5,92,3.8,49.7
IL-043,"DuPage County",46.6,79,2.1,44.5
IL-045,"Edgar County",53.2,91,3.1,50.1
IL-047,"Edwards County",58.5,105,4.4,54.1
IL-049,"Effingham County",54.7,90,3.2,51.5
IL-051,"Fayette County",55.7,94,3.7,52
IL-053,"Ford County",51.4,92,3.5,47.9
IL-055,"Franklin County",58.0,88,2.9,55.1
IL-057,"Fulton County",51.9,82,2.6,49.3
IL-059,"Gallatin County",59.2,91,3.2,56
IL-061,"Greene County",55.7,89,3.2,52.5
IL-063,"Grundy County",49.0,85,2.5,46.5
IL-065,"Hamilton County",59.3,104,4.5,54.8
IL-067,"Hancock County",52.5,86,3.2,49.3
IL-069,"Hardin County",59.4,89,3.0,56.4
IL-071,"Henderson County",51.3,89,3.3,48
IL-073,"Henry County",49.1,86,2.8,46.3
IL-075,"Iroquois County",51.1,91,3.2,47.9
IL-077,"Jackson County",58.0,87,2.2,55.8
IL-079,"Jasper County",54.7,87,2.7,52
IL-081,"Jefferson County",57.8,95,3.5,54.3
IL-083,"Jersey County",56.5,92,3.6,52.9
IL-085,"Jo Daviess County",46.1,88,2.7,43.4
IL-087,"Johnson County",58.5,87,2.4,56.1
IL-089,"Kane County",46.5,82,2.4,44.1
IL-091,"Kankakee County",49.5,84,2.5,47
IL-093,"Kendall County",47.6,80,2.2,45.4
IL-095,"Knox County",49.8,81,2.5,47.3
IL-097,"Lake County",45.0,82,1.8,43.2
IL-099,"LaSalle County",49.0,89,2.9,46.1
IL-101,"Lawrence County",56.8,99,3.8,53
IL-103,"Lee County",48.3,92,3.4,44.9
IL-105,"Livingston County",49.4,80,2.2,47.2
IL-107,"Logan County",52.3,88,3.1,49.2
IL-109,"McDonough County",52.4,89,3.4,49
IL-111,"McHenry County",46.0,88,2.9,43.1
IL-113,"McLean County",51.0,89,3.2,47.8
IL-115,"Macon County",52.5,89,3.2,49.3
IL-117,"Macoupin County",55.4,92,3.6,51.8
IL-119,"Madison County",57.3,96,4.1,53.2
IL-121,"Marion County",57.0,93,3.9,53.1
IL-123,"Marshall County",50.2,90,3.0,47.2
IL-125,"Mason County",53.0,87,2.9,50.1
IL-127,"Massac County",60.1,93,3.2,56.9
IL-129,"Menard County",53.2,90,3.0,50.2
IL-131,"Mercer County",49.9,84,3.1,46.8
IL-133,"Monroe County",59.8,96,4.7,55.1
IL-135,"Montgomery County",55.1,92,3.6,51.5
IL-137,"Morgan County",54.7,95,3.9,50.8
IL-139,"Moultrie County",53.3,92,3.4,49.9
IL-141,"Ogle County",47.4,92,3.4,44
IL-143,"Peoria County",50.9,86,3.0,47.9
IL-145,"Perry County",57.9,90,2.9,55
IL-147,"Piatt County",52.5,92,3.5,49
IL-149,"Pike County",55.7,98,4.1,51.6
IL-151,"Pope County",59.0,88,2.6,56.4
IL-153,"Pulaski County",59.6,88,2.7,56.9
IL-155,"Putnam County",49.7,87,2.7,47
IL-157,"Randolph County",59.0,94,3.7,55.3
IL-159,"Richland County",56.6,95,3.5,53.1
IL-161,"Rock Island County",49.0,85,2.8,46.2
IL-163,"St. Clair County",59.1,99,4.8,54.3
IL-165,"Saline County",58.7,88,3.0,55.7
IL-167,"Sangamon County",53.7,89,3.2,50.5
IL-169,"Schuyler County",53.8,92,3.6,50.2
IL-171,"Scott County",55.4,92,3.8,51.6
IL-173,"Shelby County",54.0,90,3.3,50.7
IL-175,"Stark County",49.9,87,2.9,47
IL-177,"Stephenson County",46.6,93,3.3,43.3
IL-179,"Tazewell County",51.8,88,3.4,48.4
IL-181,"Union County",58.4,87,2.3,56.1
IL-183,"Vermilion County",51.9,89,2.8,49.1
IL-185,"Wabash County",57.6,98,3.6,54
IL-187,"Warren County",50.4,84,3.1,47.3
IL-189,"Washington County",57.8,93,3.6,54.2
IL-191,"Wayne County",59.0,109,5.0,54
IL-193,"White County",59.4,104,4.3,55.1
IL-195,"Whiteside County",49.3,97,3.9,45.4
IL-197,"Will County",48.0,77,1.9,46.1
IL-199,"Williamson County",57.9,86,2.2,55.7
IL-201,"Winnebago County",46.2,84,2.6,43.6
IL-203,"Woodford County",50.9,91,3.5,47.4
