April 2017 Illinois County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",46.5,121,5.3,41.2
IL-003,"Alexander County",51.0,123,5.1,45.9
IL-005,"Bond County",47.2,117,4.3,42.9
IL-007,"Boone County",40.9,119,4.8,36.1
IL-009,"Brown County",46.9,125,6.2,40.7
IL-011,"Bureau County",41.7,117,4.1,37.6
IL-013,"Calhoun County",47.2,119,4.7,42.5
IL-015,"Carroll County",41.8,124,5.4,36.4
IL-017,"Cass County",46.1,122,5.1,41
IL-019,"Champaign County",45.0,128,6.1,38.9
IL-021,"Christian County",46.2,122,5.1,41.1
IL-023,"Clark County",46.8,122,5.4,41.4
IL-025,"Clay County",48.2,125,5.6,42.6
IL-027,"Clinton County",47.9,116,4.5,43.4
IL-029,"Coles County",46.3,123,5.4,40.9
IL-031,"Cook County",42.1,121,4.6,37.5
IL-033,"Crawford County",48.0,124,5.5,42.5
IL-035,"Cumberland County",46.8,120,5.1,41.7
IL-037,"DeKalb County",40.7,117,4.3,36.4
IL-039,"De Witt County",45.6,127,6.2,39.4
IL-041,"Douglas County",46.0,126,6.0,40
IL-043,"DuPage County",41.3,120,4.1,37.2
IL-045,"Edgar County",45.2,120,4.9,40.3
IL-047,"Edwards County",49.8,127,6.3,43.5
IL-049,"Effingham County",46.7,116,4.5,42.2
IL-051,"Fayette County",46.9,119,4.5,42.4
IL-053,"Ford County",43.8,127,6.0,37.8
IL-055,"Franklin County",49.4,125,5.8,43.6
IL-057,"Fulton County",45.0,123,4.9,40.1
IL-059,"Gallatin County",50.0,125,5.1,44.9
IL-061,"Greene County",46.7,121,4.6,42.1
IL-063,"Grundy County",42.5,120,5.1,37.4
IL-065,"Hamilton County",50.0,127,6.2,43.8
IL-067,"Hancock County",45.4,118,4.6,40.8
IL-069,"Hardin County",50.4,126,5.4,45
IL-071,"Henderson County",44.1,117,4.4,39.7
IL-073,"Henry County",42.9,120,4.9,38
IL-075,"Iroquois County",43.4,124,5.8,37.6
IL-077,"Jackson County",49.3,124,5.6,43.7
IL-079,"Jasper County",47.4,122,5.0,42.4
IL-081,"Jefferson County",48.8,125,5.4,43.4
IL-083,"Jersey County",47.6,119,4.7,42.9
IL-085,"Jo Daviess County",40.7,121,4.7,36
IL-087,"Johnson County",50.8,125,6.0,44.8
IL-089,"Kane County",40.6,116,4.0,36.6
IL-091,"Kankakee County",42.5,121,5.2,37.3
IL-093,"Kendall County",41.3,115,3.8,37.5
IL-095,"Knox County",42.9,116,4.3,38.6
IL-097,"Lake County",40.6,121,4.3,36.3
IL-099,"LaSalle County",42.2,119,4.5,37.7
IL-101,"Lawrence County",48.5,125,5.3,43.2
IL-103,"Lee County",41.8,121,4.9,36.9
IL-105,"Livingston County",43.5,125,5.9,37.6
IL-107,"Logan County",46.4,126,5.9,40.5
IL-109,"McDonough County",44.6,118,4.6,40
IL-111,"McHenry County",40.3,121,4.5,35.8
IL-113,"McLean County",44.4,126,6.2,38.2
IL-115,"Macon County",46.2,126,5.8,40.4
IL-117,"Macoupin County",46.7,121,4.7,42
IL-119,"Madison County",48.3,119,4.7,43.6
IL-121,"Marion County",47.6,120,4.7,42.9
IL-123,"Marshall County",43.0,118,4.6,38.4
IL-125,"Mason County",46.4,125,5.8,40.6
IL-127,"Massac County",51.6,127,5.9,45.7
IL-129,"Menard County",46.6,124,5.9,40.7
IL-131,"Mercer County",42.9,114,3.9,39
IL-133,"Monroe County",50.0,124,6.0,44
IL-135,"Montgomery County",46.4,119,4.6,41.8
IL-137,"Morgan County",46.1,123,4.9,41.2
IL-139,"Moultrie County",45.9,121,5.3,40.6
IL-141,"Ogle County",41.6,122,5.1,36.5
IL-143,"Peoria County",45.0,124,5.9,39.1
IL-145,"Perry County",49.0,124,5.8,43.2
IL-147,"Piatt County",45.7,127,6.3,39.4
IL-149,"Pike County",47.2,124,5.7,41.5
IL-151,"Pope County",50.7,126,5.7,45
IL-153,"Pulaski County",51.9,127,6.1,45.8
IL-155,"Putnam County",42.2,116,3.8,38.4
IL-157,"Randolph County",49.9,125,6.6,43.3
IL-159,"Richland County",48.4,124,5.4,43
IL-161,"Rock Island County",43.1,119,4.5,38.6
IL-163,"St. Clair County",49.7,124,5.7,44
IL-165,"Saline County",49.9,124,5.4,44.5
IL-167,"Sangamon County",46.8,124,6.1,40.7
IL-169,"Schuyler County",46.1,122,5.5,40.6
IL-171,"Scott County",46.6,123,5.1,41.5
IL-173,"Shelby County",46.2,120,4.7,41.5
IL-175,"Stark County",42.8,120,4.8,38
IL-177,"Stephenson County",40.9,125,5.3,35.6
IL-179,"Tazewell County",45.5,127,5.9,39.6
IL-181,"Union County",50.2,124,5.5,44.7
IL-183,"Vermilion County",45.0,128,6.0,39
IL-185,"Wabash County",49.4,127,5.8,43.6
IL-187,"Warren County",43.2,115,4.0,39.2
IL-189,"Washington County",48.4,122,5.1,43.3
IL-191,"Wayne County",49.7,128,6.5,43.2
IL-193,"White County",50.1,127,5.9,44.2
IL-195,"Whiteside County",42.4,123,5.0,37.4
IL-197,"Will County",42.2,120,4.7,37.5
IL-199,"Williamson County",49.7,123,5.8,43.9
IL-201,"Winnebago County",41.1,119,4.8,36.3
IL-203,"Woodford County",43.8,124,5.6,38.2
