March 2017 Illinois County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",35.1,110,4.8,30.3
IL-003,"Alexander County",39.0,95,3.1,35.9
IL-005,"Bond County",35.2,85,2.3,32.9
IL-007,"Boone County",27.2,82,1.7,25.5
IL-009,"Brown County",34.9,111,4.9,30
IL-011,"Bureau County",29.4,92,2.5,26.9
IL-013,"Calhoun County",36.0,107,4.0,32
IL-015,"Carroll County",29.3,101,4.0,25.3
IL-017,"Cass County",34.0,100,3.7,30.3
IL-019,"Champaign County",33.0,106,4.0,29
IL-021,"Christian County",34.3,98,3.2,31.1
IL-023,"Clark County",34.9,100,3.5,31.4
IL-025,"Clay County",36.9,107,4.1,32.8
IL-027,"Clinton County",35.8,90,2.6,33.2
IL-029,"Coles County",34.0,94,3.1,30.9
IL-031,"Cook County",30.1,89,2.3,27.8
IL-033,"Crawford County",35.9,101,3.6,32.3
IL-035,"Cumberland County",34.7,94,3.0,31.7
IL-037,"DeKalb County",28.3,86,2.1,26.2
IL-039,"De Witt County",33.2,106,3.9,29.3
IL-041,"Douglas County",34.0,107,4.1,29.9
IL-043,"DuPage County",29.4,87,2.1,27.3
IL-045,"Edgar County",34.1,105,3.8,30.3
IL-047,"Edwards County",37.9,108,4.2,33.7
IL-049,"Effingham County",35.4,99,3.3,32.1
IL-051,"Fayette County",35.3,92,2.8,32.5
IL-053,"Ford County",31.6,99,3.6,28
IL-055,"Franklin County",38.4,108,4.4,34
IL-057,"Fulton County",32.8,102,3.4,29.4
IL-059,"Gallatin County",38.0,94,2.8,35.2
IL-061,"Greene County",35.4,101,3.7,31.7
IL-063,"Grundy County",30.9,99,3.4,27.5
IL-065,"Hamilton County",38.4,108,4.3,34.1
IL-067,"Hancock County",33.9,107,4.4,29.5
IL-069,"Hardin County",39.1,98,3.6,35.5
IL-071,"Henderson County",32.0,101,3.5,28.5
IL-073,"Henry County",30.4,100,3.5,26.9
IL-075,"Iroquois County",31.2,98,3.3,27.9
IL-077,"Jackson County",38.5,109,4.5,34
IL-079,"Jasper County",36.1,105,3.8,32.3
IL-081,"Jefferson County",37.3,103,3.8,33.5
IL-083,"Jersey County",36.4,107,4.1,32.3
IL-085,"Jo Daviess County",28.4,99,3.6,24.8
IL-087,"Johnson County",38.6,97,3.5,35.1
IL-089,"Kane County",28.4,84,1.8,26.6
IL-091,"Kankakee County",30.7,96,3.1,27.6
IL-093,"Kendall County",29.8,85,2.1,27.7
IL-095,"Knox County",30.6,96,2.8,27.8
IL-097,"Lake County",28.7,90,2.4,26.3
IL-099,"LaSalle County",30.1,93,2.6,27.5
IL-101,"Lawrence County",36.6,99,3.4,33.2
IL-103,"Lee County",29.1,95,3.0,26.1
IL-105,"Livingston County",30.9,96,3.3,27.6
IL-107,"Logan County",33.9,106,3.8,30.1
IL-109,"McDonough County",32.6,103,3.6,29
IL-111,"McHenry County",27.0,84,1.6,25.4
IL-113,"McLean County",32.3,106,4.2,28.1
IL-115,"Macon County",34.0,102,3.5,30.5
IL-117,"Macoupin County",35.1,96,3.3,31.8
IL-119,"Madison County",37.1,106,3.9,33.2
IL-121,"Marion County",36.1,98,3.1,33
IL-123,"Marshall County",30.8,92,2.8,28
IL-125,"Mason County",33.9,105,3.8,30.1
IL-127,"Massac County",39.8,100,3.9,35.9
IL-129,"Menard County",34.4,107,4.2,30.2
IL-131,"Mercer County",30.4,92,2.6,27.8
IL-133,"Monroe County",39.3,115,5.5,33.8
IL-135,"Montgomery County",34.4,91,2.5,31.9
IL-137,"Morgan County",34.3,100,3.7,30.6
IL-139,"Moultrie County",33.8,95,3.1,30.7
IL-141,"Ogle County",29.3,100,3.7,25.6
IL-143,"Peoria County",32.5,105,4.0,28.5
IL-145,"Perry County",37.4,103,3.9,33.5
IL-147,"Piatt County",33.5,108,4.0,29.5
IL-149,"Pike County",35.6,111,4.6,31
IL-151,"Pope County",39.2,99,3.8,35.4
IL-153,"Pulaski County",38.6,89,2.7,35.9
IL-155,"Putnam County",30.0,87,2.0,28
IL-157,"Randolph County",38.4,109,4.9,33.5
IL-159,"Richland County",37.2,106,4.1,33.1
IL-161,"Rock Island County",30.6,99,3.3,27.3
IL-163,"St. Clair County",38.4,108,4.8,33.6
IL-165,"Saline County",38.3,99,3.4,34.9
IL-167,"Sangamon County",34.9,108,4.4,30.5
IL-169,"Schuyler County",34.1,107,4.3,29.8
IL-171,"Scott County",35.0,104,4.1,30.9
IL-173,"Shelby County",34.3,92,2.8,31.5
IL-175,"Stark County",30.6,98,3.4,27.2
IL-177,"Stephenson County",28.4,103,3.9,24.5
IL-179,"Tazewell County",33.3,107,4.2,29.1
IL-181,"Union County",38.6,102,3.7,34.9
IL-183,"Vermilion County",33.0,105,3.8,29.2
IL-185,"Wabash County",37.4,104,3.7,33.7
IL-187,"Warren County",30.6,91,2.4,28.2
IL-189,"Washington County",36.2,95,2.9,33.3
IL-191,"Wayne County",38.0,110,4.6,33.4
IL-193,"White County",37.8,102,3.4,34.4
IL-195,"Whiteside County",30.4,104,4.1,26.3
IL-197,"Will County",30.5,91,2.7,27.8
IL-199,"Williamson County",38.9,109,4.5,34.4
IL-201,"Winnebago County",28.1,92,2.6,25.5
IL-203,"Woodford County",31.8,104,3.9,27.9
