March 2017 Illinois County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",3.72,93,0.94,2.78
IL-003,"Alexander County",3.83,58,-0.69,4.52
IL-005,"Bond County",3.03,66,-0.47,3.5
IL-007,"Boone County",3.53,108,1.27,2.26
IL-009,"Brown County",4.15,100,1.18,2.97
IL-011,"Bureau County",5.23,120,2.61,2.62
IL-013,"Calhoun County",3.72,87,0.51,3.21
IL-015,"Carroll County",3.34,103,1.11,2.23
IL-017,"Cass County",4.1,96,1.07,3.03
IL-019,"Champaign County",2.7,58,-0.37,3.07
IL-021,"Christian County",3.17,73,0.1,3.07
IL-023,"Clark County",2.86,56,-0.68,3.54
IL-025,"Clay County",3.11,56,-0.55,3.66
IL-027,"Clinton County",3.16,63,-0.39,3.55
IL-029,"Coles County",2.07,44,-1.21,3.28
IL-031,"Cook County",4.75,122,2.19,2.56
IL-033,"Crawford County",3.12,56,-0.62,3.74
IL-035,"Cumberland County",2.46,47,-1.0,3.46
IL-037,"DeKalb County",4.19,118,1.75,2.44
IL-039,"De Witt County",3.38,80,0.3,3.08
IL-041,"Douglas County",2.03,43,-1.15,3.18
IL-043,"DuPage County",4.87,122,2.37,2.5
IL-045,"Edgar County",2.51,50,-0.87,3.38
IL-047,"Edwards County",2.72,34,-1.31,4.03
IL-049,"Effingham County",2.75,54,-0.77,3.52
IL-051,"Fayette County",2.94,64,-0.47,3.41
IL-053,"Ford County",3.71,94,0.82,2.89
IL-055,"Franklin County",3.26,48,-0.83,4.09
IL-057,"Fulton County",3.59,93,0.79,2.8
IL-059,"Gallatin County",4.12,64,-0.34,4.46
IL-061,"Greene County",3.71,90,0.59,3.12
IL-063,"Grundy County",4.33,115,1.69,2.64
IL-065,"Hamilton County",3.39,54,-0.68,4.07
IL-067,"Hancock County",3.24,86,0.56,2.68
IL-069,"Hardin County",4.66,73,0.04,4.62
IL-071,"Henderson County",3.08,86,0.48,2.6
IL-073,"Henry County",3.66,102,1.1,2.56
IL-075,"Iroquois County",3.11,79,0.2,2.91
IL-077,"Jackson County",3.43,56,-0.67,4.1
IL-079,"Jasper County",2.82,51,-0.8,3.62
IL-081,"Jefferson County",3.12,49,-0.78,3.9
IL-083,"Jersey County",3.93,93,0.68,3.25
IL-085,"Jo Daviess County",3.09,103,0.95,2.14
IL-087,"Johnson County",4.35,65,-0.16,4.51
IL-089,"Kane County",4.36,119,1.93,2.43
IL-091,"Kankakee County",3.56,91,0.75,2.81
IL-093,"Kendall County",4.74,121,2.27,2.47
IL-095,"Knox County",3.39,88,0.71,2.68
IL-097,"Lake County",4.03,118,1.68,2.35
IL-099,"LaSalle County",4.19,114,1.67,2.52
IL-101,"Lawrence County",3.25,53,-0.68,3.93
IL-103,"Lee County",4.22,115,1.76,2.46
IL-105,"Livingston County",3.63,99,0.97,2.66
IL-107,"Logan County",4.1,98,1.09,3.01
IL-109,"McDonough County",3.28,84,0.54,2.74
IL-111,"McHenry County",3.82,110,1.45,2.37
IL-113,"McLean County",3.6,90,0.7,2.9
IL-115,"Macon County",3.14,70,-0.06,3.2
IL-117,"Macoupin County",3.78,89,0.52,3.26
IL-119,"Madison County",4.02,89,0.62,3.4
IL-121,"Marion County",3.16,62,-0.51,3.67
IL-123,"Marshall County",4.19,110,1.54,2.65
IL-125,"Mason County",3.9,95,1.02,2.88
IL-127,"Massac County",4.85,77,0.11,4.74
IL-129,"Menard County",4.22,102,1.28,2.94
IL-131,"Mercer County",3.48,100,0.97,2.51
IL-133,"Monroe County",3.69,76,0.2,3.49
IL-135,"Montgomery County",3.08,70,-0.17,3.25
IL-137,"Morgan County",4.06,96,1.04,3.02
IL-139,"Moultrie County",2.25,47,-0.96,3.21
IL-141,"Ogle County",3.73,109,1.41,2.32
IL-143,"Peoria County",3.78,97,1.05,2.73
IL-145,"Perry County",2.99,47,-0.85,3.84
IL-147,"Piatt County",2.61,56,-0.53,3.14
IL-149,"Pike County",3.68,92,0.7,2.98
IL-151,"Pope County",4.83,75,0.19,4.64
IL-153,"Pulaski County",4.11,61,-0.52,4.63
IL-155,"Putnam County",4.67,117,2.08,2.59
IL-157,"Randolph County",3.01,55,-0.61,3.62
IL-159,"Richland County",2.77,45,-0.99,3.76
IL-161,"Rock Island County",3.26,98,0.76,2.5
IL-163,"St. Clair County",3.65,78,0.22,3.43
IL-165,"Saline County",4.1,64,-0.21,4.31
IL-167,"Sangamon County",4.09,101,1.06,3.03
IL-169,"Schuyler County",3.76,92,0.84,2.92
IL-171,"Scott County",3.78,93,0.81,2.97
IL-173,"Shelby County",2.67,58,-0.59,3.26
IL-175,"Stark County",4.38,111,1.7,2.68
IL-177,"Stephenson County",3.13,104,0.96,2.17
IL-179,"Tazewell County",4.01,98,1.14,2.87
IL-181,"Union County",3.89,62,-0.48,4.37
IL-183,"Vermilion County",3.12,72,0.11,3.01
IL-185,"Wabash County",2.86,39,-1.22,4.08
IL-187,"Warren County",2.96,77,0.32,2.64
IL-189,"Washington County",2.96,51,-0.7,3.66
IL-191,"Wayne County",2.75,40,-1.13,3.88
IL-193,"White County",3.34,48,-0.94,4.28
IL-195,"Whiteside County",3.6,105,1.15,2.45
IL-197,"Will County",4.94,121,2.27,2.67
IL-199,"Williamson County",3.8,59,-0.43,4.23
IL-201,"Winnebago County",3.26,104,1.07,2.19
IL-203,"Woodford County",4.07,105,1.33,2.74
